cuit_comprador;cuit_vendedor;fecha_emision_comprobante;tipo_cbte;nro_cbte_desde;nro_cbte_hasta;punto_de_venta;moneda;cae;importe_total
20000000005;20000000008;20191108;1;89;89;42;PES;77040107;7324073.98
20000000014;20000000007;20191213;1;41;41;21;PES;63978070;5730804.77
20000000014;20000000013;20190418;1;35;35;98;PES;97984566;3948443.96
20000000009;20000000016;20191028;1;63;63;52;PES;42300190;2259095.48
20000000006;20000000001;20181121;1;32;32;38;PES;31463686;1693240.84
20000000011;20000000010;20180221;1;2;2;64;PES;55606584;3303219.61
20000000013;20000000005;20191220;1;64;64;40;PES;37578034;2707288.77
20000000012;20000000007;20180122;1;67;67;87;PES;84222677;6628378.28
20000000006;20000000005;20181207;1;50;50;53;PES;98380941;927150.16
20000000007;20000000011;20181117;1;64;64;56;PES;83848777;8099183.19
20000000010;20000000003;20190521;1;88;88;28;PES;97379538;1238533.57
20000000004;20000000010;20180622;1;61;61;95;PES;54642248;7357145.12
20000000013;20000000007;20180207;1;80;80;29;PES;13058446;7608488.93
20000000006;20000000013;20180906;1;12;12;15;PES;69687667;5846216.07
20000000006;20000000015;20190620;1;95;95;53;PES;52065804;9035124.28
20000000009;20000000004;20190410;1;56;56;34;PES;41459480;2236997.71
20000000004;20000000010;20180516;1;45;45;17;PES;62323901;305034.58
20000000006;20000000006;20181108;1;79;79;84;PES;69983529;9523493.59
20000000006;20000000013;20190426;1;80;80;6;PES;99104814;5924410.56
20000000004;20000000003;20191101;1;74;74;98;PES;42816152;4358525.3
20000000009;20000000003;20180410;1;42;42;84;PES;14820623;9378465.21
20000000011;20000000014;20180925;1;56;56;37;PES;74050228;2887349.66
20000000016;20000000010;20180625;1;9;9;84;PES;50828661;4291706.68
20000000009;20000000009;20180325;1;49;49;89;PES;18693601;4025863.11
20000000004;20000000014;20180803;1;2;2;66;PES;70944008;5782678.78
20000000007;20000000014;20180403;1;43;43;53;PES;96268589;8040397.38
20000000013;20000000004;20190202;1;18;18;68;PES;85769202;9897403.79
20000000015;20000000003;20190522;1;38;38;95;PES;83613446;514516.92
20000000005;20000000002;20180408;1;41;41;2;PES;63080761;1589809.11
20000000012;20000000009;20190526;1;72;72;16;PES;90204246;1471466.02
20000000001;20000000001;20180813;1;59;59;39;PES;47931210;6083210.98
20000000004;20000000007;20180407;1;19;19;52;PES;22670918;8215786.57
20000000008;20000000003;20180222;1;89;89;23;PES;72485926;269398.12
20000000001;20000000011;20180818;1;98;98;24;PES;14760310;9671726.39
20000000002;20000000003;20181128;1;57;57;89;PES;86033224;9020572.58
20000000012;20000000012;20180523;1;95;95;30;PES;35867792;151219.54
20000000004;20000000013;20180825;1;60;60;13;PES;49350922;6719487.03
20000000014;20000000010;20191104;1;36;36;13;PES;54193056;7397924.31
20000000014;20000000011;20180402;1;1;1;2;PES;22883149;1690069.92
20000000010;20000000011;20190811;1;79;79;25;PES;19677100;2354684.0
20000000002;20000000001;20190903;1;39;39;20;PES;50765179;5504964.53
20000000014;20000000016;20190811;1;22;22;26;PES;74179314;3489600.86
20000000015;20000000005;20190802;1;55;55;73;PES;40059859;1737475.29
20000000007;20000000009;20180109;1;99;99;84;PES;77702952;7598838.95
20000000011;20000000014;20180312;1;46;46;31;PES;17760534;8812054.44
20000000002;20000000012;20180120;1;52;52;24;PES;61292004;2639827.9
20000000003;20000000015;20191022;1;81;81;27;PES;64366416;2239304.68
20000000008;20000000015;20181106;1;25;25;75;PES;18986444;9420657.05
20000000016;20000000010;20190609;1;95;95;20;PES;69689735;9318098.22
20000000002;20000000013;20181119;1;33;33;36;PES;14343600;5746604.53
20000000012;20000000004;20190810;1;2;2;36;PES;97838206;4873244.03
20000000014;20000000006;20190825;1;73;73;25;PES;52139390;1514795.15
20000000012;20000000005;20181216;1;5;5;88;PES;73420116;5504776.79
20000000004;20000000002;20191025;1;23;23;30;PES;78647123;8508727.55
20000000002;20000000016;20190905;1;31;31;81;PES;61474031;6727192.55
20000000004;20000000003;20181210;1;4;4;46;PES;49021968;8316105.17
20000000005;20000000008;20180816;1;81;81;82;PES;89677143;2971255.94
20000000005;20000000007;20181213;1;81;81;98;PES;11502163;2333883.94
20000000015;20000000001;20190224;1;1;1;36;PES;27324044;4514920.96
20000000007;20000000007;20180914;1;5;5;44;PES;40515335;3719711.65
20000000014;20000000009;20180820;1;69;69;90;PES;92580154;2189381.88
20000000013;20000000008;20180304;1;35;35;30;PES;17400175;3707233.84
20000000012;20000000006;20191216;1;26;26;100;PES;84889230;8112269.46
20000000002;20000000011;20180411;1;82;82;68;PES;70783084;2744388.23
20000000010;20000000016;20180403;1;10;10;45;PES;34090038;9244427.17
20000000007;20000000015;20191105;1;29;29;72;PES;16114788;7587323.18
20000000006;20000000007;20191008;1;25;25;48;PES;60202160;9210568.36
20000000009;20000000007;20180625;1;23;23;22;PES;58088765;5857714.1
20000000008;20000000012;20180623;1;48;48;88;PES;61815252;5632619.67
20000000012;20000000014;20180922;1;1;1;1;PES;71361201;1347546.72
20000000004;20000000006;20190913;1;12;12;1;PES;75032290;4727522.42
20000000014;20000000010;20190115;1;25;25;61;PES;89127446;3092445.38
20000000002;20000000016;20180817;1;46;46;81;PES;38917763;3070094.71
20000000004;20000000011;20190623;1;30;30;25;PES;88505892;3287210.43
20000000006;20000000016;20180805;1;22;22;60;PES;56982877;6550975.54
20000000006;20000000003;20190610;1;39;39;90;PES;91642119;4394995.96
20000000016;20000000014;20190726;1;57;57;26;PES;16988718;8393114.35
20000000007;20000000003;20190414;1;26;26;67;PES;97905604;5659144.56
20000000001;20000000012;20190117;1;61;61;13;PES;50285301;6529438.31
20000000003;20000000012;20191219;1;6;6;62;PES;54765914;6083466.28
20000000009;20000000011;20190209;1;17;17;20;PES;86769873;8979393.74
20000000006;20000000004;20180516;1;55;55;25;PES;25159371;5460836.27
20000000010;20000000016;20190322;1;76;76;86;PES;24425258;4178456.62
20000000009;20000000007;20190411;1;90;90;99;PES;80644105;1113310.31
20000000016;20000000004;20190505;1;77;77;92;PES;41390070;8574883.38
20000000005;20000000002;20190908;1;24;24;12;PES;59685545;20638.15
20000000016;20000000016;20180212;1;10;10;49;PES;35518122;2579887.13
20000000016;20000000002;20191112;1;64;64;39;PES;54581296;2916497.03
20000000010;20000000010;20190522;1;56;56;48;PES;60424125;7580013.91
20000000009;20000000006;20181106;1;74;74;20;PES;31615893;3322914.97
20000000006;20000000012;20190107;1;50;50;60;PES;28511641;5760596.59
20000000010;20000000011;20190708;1;90;90;3;PES;45111553;5564413.36
20000000010;20000000013;20180823;1;28;28;86;PES;61707058;3610519.96
20000000003;20000000002;20190821;1;15;15;41;PES;69705770;6165607.84
20000000006;20000000002;20190628;1;13;13;76;PES;25222459;2009064.94
20000000014;20000000006;20191216;1;5;5;23;PES;87320298;3936676.19
20000000007;20000000004;20180126;1;66;66;39;PES;11044806;3659904.27
20000000008;20000000002;20180627;1;2;2;41;PES;57526462;1758949.77
20000000002;20000000009;20180618;1;33;33;4;PES;54566783;9495063.54
20000000007;20000000013;20181106;1;38;38;50;PES;19182467;3197481.65
20000000005;20000000016;20180919;1;5;5;99;PES;41067833;4540302.49
20000000007;20000000005;20191224;1;70;70;17;PES;20807614;6597785.47
20000000003;20000000001;20190925;1;12;12;71;PES;94455367;2774793.59
20000000010;20000000004;20180509;1;39;39;23;PES;34271272;5549445.53
20000000009;20000000006;20180509;1;31;31;70;PES;34889894;4130300.52
20000000013;20000000010;20180910;1;19;19;70;PES;99358008;1091835.12
20000000011;20000000005;20180208;1;48;48;89;PES;87642169;7701202.1
20000000015;20000000005;20180501;1;90;90;28;PES;56107252;119759.18
20000000003;20000000008;20180301;1;12;12;3;PES;38292858;9284456.94
20000000003;20000000003;20191024;1;81;81;71;PES;38546369;4460496.07
20000000016;20000000006;20180303;1;25;25;59;PES;62794287;1994990.93
20000000014;20000000012;20180813;1;48;48;79;PES;23806023;3674311.15
20000000012;20000000007;20190503;1;44;44;84;PES;33828737;3458167.1
20000000005;20000000001;20180805;1;14;14;19;PES;27280087;3496384.85
20000000010;20000000001;20180223;1;73;73;53;PES;66119827;8339897.24
20000000013;20000000009;20180826;1;45;45;99;PES;26025157;3556980.5
20000000013;20000000013;20191107;1;90;90;14;PES;96755226;3252924.99
20000000014;20000000004;20180408;1;32;32;58;PES;35137427;409946.06
20000000011;20000000003;20181005;1;99;99;97;PES;69079493;6562103.49
20000000008;20000000007;20180616;1;27;27;18;PES;97305279;3268574.06
20000000009;20000000003;20180825;1;29;29;93;PES;43909580;5851481.87
20000000013;20000000008;20191118;1;50;50;43;PES;35279473;2270942.47
20000000002;20000000006;20190525;1;10;10;63;PES;58101010;3385768.19
20000000004;20000000010;20180211;1;53;53;92;PES;85225135;1219937.0
20000000014;20000000001;20190208;1;31;31;96;PES;31164607;3919134.26
20000000016;20000000012;20180114;1;91;91;72;PES;59383151;932635.36
20000000013;20000000009;20180108;1;57;57;100;PES;12902693;890854.62
20000000001;20000000011;20181213;1;77;77;21;PES;86232632;4441685.81
20000000006;20000000006;20190318;1;30;30;94;PES;86804600;4081736.07
20000000005;20000000001;20190519;1;39;39;48;PES;81510526;2640078.65
20000000002;20000000011;20180227;1;10;10;52;PES;53010594;2982972.28
20000000001;20000000002;20180310;1;39;39;42;PES;10270830;3303940.7
20000000014;20000000014;20191027;1;51;51;75;PES;62475713;2853046.55
20000000009;20000000002;20180418;1;36;36;82;PES;57389927;8393835.23
20000000008;20000000015;20181109;1;61;61;8;PES;93808301;5810322.75
20000000004;20000000005;20190516;1;50;50;44;PES;94702105;8178564.17
20000000002;20000000004;20181212;1;3;3;36;PES;66465467;196433.66
20000000009;20000000005;20190417;1;10;10;97;PES;36810117;2876294.71
20000000002;20000000016;20181126;1;45;45;83;PES;35516195;9148568.23
20000000004;20000000002;20180907;1;77;77;79;PES;93603704;610027.13
20000000012;20000000007;20191204;1;5;5;13;PES;82613856;8282419.11
20000000010;20000000010;20190115;1;62;62;5;PES;93855553;7809390.95
20000000010;20000000006;20180509;1;55;55;49;PES;87942309;1233426.48
20000000015;20000000010;20180506;1;6;6;97;PES;92337607;8447912.15
20000000013;20000000004;20191027;1;59;59;46;PES;85185907;3796007.72
20000000012;20000000005;20180213;1;74;74;86;PES;90880564;4266071.87
20000000010;20000000016;20190617;1;2;2;5;PES;27521672;9110629.49
20000000009;20000000011;20180704;1;67;67;94;PES;25409916;1305212.08
20000000012;20000000008;20190228;1;96;96;75;PES;15403120;9046583.63
20000000007;20000000003;20181125;1;8;8;14;PES;43327724;3845608.19
20000000003;20000000002;20180423;1;39;39;68;PES;39411402;797133.19
20000000013;20000000002;20181220;1;4;4;8;PES;13157634;7683777.29
20000000014;20000000001;20190804;1;97;97;7;PES;19570114;5514080.45
20000000010;20000000016;20191021;1;44;44;20;PES;29279895;2981943.6
20000000005;20000000009;20180602;1;5;5;63;PES;50512505;8156028.2
20000000009;20000000007;20190627;1;76;76;93;PES;30637561;5476476.33
20000000011;20000000008;20180315;1;89;89;76;PES;32239143;1811719.59
20000000001;20000000005;20190827;1;39;39;55;PES;85690618;8407181.44
20000000009;20000000007;20180627;1;4;4;78;PES;88654082;1901237.78
20000000013;20000000002;20180421;1;29;29;34;PES;43085145;1069457.08
20000000011;20000000007;20190720;1;57;57;57;PES;43199341;9690352.56
20000000008;20000000006;20180423;1;17;17;68;PES;75066107;7367802.85
20000000015;20000000011;20181117;1;91;91;50;PES;27908065;2778092.33
20000000012;20000000006;20181003;1;33;33;20;PES;52131448;6480081.91
20000000005;20000000005;20180318;1;14;14;56;PES;85945411;7791869.45
20000000005;20000000008;20180514;1;58;58;25;PES;83860609;2355106.58
20000000016;20000000003;20190319;1;70;70;88;PES;70294775;6465366.32
20000000015;20000000006;20180515;1;41;41;87;PES;67222514;3110611.12
20000000008;20000000007;20190224;1;45;45;7;PES;43267288;7492147.04
20000000008;20000000009;20181116;1;78;78;38;PES;69310350;4304353.61
20000000011;20000000014;20180101;1;94;94;96;PES;18340520;3176336.44
20000000013;20000000003;20190228;1;7;7;21;PES;17673359;6672742.04
20000000011;20000000007;20180728;1;47;47;98;PES;89715813;3057998.9
20000000010;20000000003;20180825;1;78;78;31;PES;18080169;6106601.43
20000000003;20000000007;20191227;1;29;29;39;PES;66658764;7441751.9
20000000005;20000000010;20180216;1;41;41;46;PES;86807796;4903076.53
20000000006;20000000010;20180107;1;25;25;20;PES;98909484;908076.6
20000000010;20000000016;20180921;1;39;39;2;PES;32925548;6621372.1
20000000013;20000000015;20190221;1;50;50;86;PES;82470685;1050132.05
20000000013;20000000004;20190619;1;68;68;93;PES;16901680;7519188.46
20000000012;20000000006;20191103;1;85;85;81;PES;82376089;6625244.75
20000000004;20000000009;20180316;1;60;60;35;PES;35314066;5868998.22
20000000010;20000000005;20181122;1;35;35;35;PES;30697735;9921135.57
20000000015;20000000010;20191024;1;48;48;31;PES;54273098;6986836.5
20000000012;20000000016;20191206;1;81;81;83;PES;48158371;8924716.48
20000000004;20000000007;20190813;1;25;25;53;PES;13592138;6628853.27
20000000011;20000000008;20190802;1;70;70;61;PES;81881477;3353445.89
20000000010;20000000006;20180425;1;83;83;29;PES;86705555;9176496.98
20000000004;20000000012;20191120;1;24;24;39;PES;19488533;3222313.43
20000000009;20000000011;20190916;1;17;17;16;PES;67533966;8858417.7
