,cuit_comprador,cuit_vendedor,fecha_emision_comprobante,tipo_cbte,nro_cbte_desde,nro_cbte_hasta,punto_de_venta,cae,moneda,importe_total
36,20000000008,20000000012,20180319,1,37,37,98,81828201,PES,3668932.05
37,20000000009,20000000005,20180717,1,58,58,54,22461347,PES,8992351.05
38,20000000006,20000000014,20190615,1,13,13,69,49822752,PES,1384325.4
39,20000000013,20000000012,20190324,1,18,18,52,93689077,PES,9943564.03
40,20000000010,20000000005,20190522,1,64,64,37,61652667,PES,8743997.72
41,20000000007,20000000015,20190302,1,1,1,1,62096994,PES,6174588.42
42,20000000002,20000000003,20190420,1,74,74,30,32063791,PES,5016389.27
43,20000000003,20000000014,20180521,1,55,55,31,36582794,PES,98976.87
44,20000000006,20000000006,20180921,1,61,61,8,88695565,PES,8444719.14
45,20000000016,20000000008,20190305,1,17,17,21,33733961,PES,6780954.68
46,20000000006,20000000011,20181019,1,23,23,84,85355537,PES,5597551.0
47,20000000006,20000000006,20190125,1,68,68,78,66924046,PES,5437001.84
48,20000000008,20000000013,20180605,1,8,8,16,57777826,PES,3859019.07
49,20000000016,20000000012,20190415,1,34,34,96,16046402,PES,6332042.01
50,20000000001,20000000008,20180801,1,83,83,17,61847176,PES,1973122.09
51,20000000008,20000000007,20180910,1,16,16,67,64209272,PES,9888679.28
52,20000000009,20000000003,20190301,1,53,53,95,58630479,PES,5242164.67
53,20000000011,20000000006,20190414,1,52,52,24,40243567,PES,1131816.33
54,20000000002,20000000007,20190511,1,10,10,97,45403002,PES,435794.2
55,20000000009,20000000009,20181013,1,50,50,83,95467837,PES,2778496.17
56,20000000009,20000000005,20180906,1,51,51,14,45742470,PES,4255795.2
57,20000000003,20000000004,20181117,1,99,99,86,21958780,PES,5645655.82
58,20000000007,20000000011,20180816,1,33,33,87,50666359,PES,1842291.42
59,20000000002,20000000007,20180701,1,89,89,91,42688676,PES,6246415.37
60,20000000003,20000000011,20190914,1,61,61,38,86368899,PES,8869284.64
61,20000000001,20000000004,20190921,1,19,19,58,69437853,PES,6015725.99
62,20000000011,20000000002,20190120,1,15,15,94,43953589,PES,3640225.07
63,20000000005,20000000008,20190518,1,23,23,65,72259753,PES,371521.67
64,20000000005,20000000014,20180104,1,38,38,84,48163570,PES,8955313.46
65,20000000012,20000000010,20191219,1,40,40,98,61562337,PES,8218061.93
66,20000000002,20000000016,20190622,1,33,33,70,89584452,PES,9500418.63
67,20000000011,20000000002,20180120,1,20,20,42,78477548,PES,4630391.06
68,20000000014,20000000012,20190215,1,91,91,19,92642531,PES,4223579.34
69,20000000003,20000000016,20191118,1,11,11,42,68496822,PES,4390660.22
70,20000000001,20000000002,20181207,1,59,59,69,85953163,PES,7846084.19
71,20000000006,20000000006,20190406,1,7,7,24,31728140,PES,4947582.99
72,20000000008,20000000009,20180924,1,21,21,56,88718025,PES,3467749.59
73,20000000016,20000000014,20180317,1,69,69,56,61529779,PES,5362236.33
74,20000000012,20000000001,20190925,1,1,1,94,64268342,PES,9238567.5
75,20000000007,20000000015,20180805,1,14,14,57,12234829,PES,5986176.76
76,20000000003,20000000003,20181104,1,89,89,49,85778636,PES,9964325.54
77,20000000001,20000000002,20181105,1,79,79,87,34121289,PES,7068042.71
78,20000000010,20000000003,20181114,1,37,37,63,58940274,PES,4200774.88
79,20000000008,20000000011,20190210,1,58,58,67,39455351,PES,6600645.09
80,20000000004,20000000012,20190126,1,17,17,88,13878420,PES,2945537.69
81,20000000015,20000000013,20190323,1,15,15,63,63235745,PES,4916781.88
82,20000000003,20000000002,20191120,1,37,37,25,52813716,PES,4210671.73
83,20000000004,20000000001,20181104,1,43,43,61,57853685,PES,9156547.82
84,20000000008,20000000008,20191012,1,22,22,14,49742520,PES,3872273.9
85,20000000004,20000000009,20180501,1,40,40,70,34270911,PES,7152511.39
86,20000000001,20000000004,20191207,1,59,59,81,94677953,PES,2570773.22
87,20000000007,20000000016,20181127,1,49,49,13,94313903,PES,6388545.04
88,20000000015,20000000003,20180214,1,29,29,59,70016059,PES,7326215.65
89,20000000014,20000000009,20190916,1,17,17,50,30563307,PES,9633845.38
90,20000000012,20000000010,20180105,1,92,92,16,62554689,PES,5881363.5
91,20000000015,20000000009,20180723,1,95,95,35,41253154,PES,2722736.54
92,20000000016,20000000002,20191217,1,71,71,90,45840133,PES,6066475.17
93,20000000004,20000000002,20181227,1,72,72,10,80753779,PES,8167534.06
94,20000000010,20000000016,20190805,1,88,88,1,88182096,PES,5533214.57
95,20000000013,20000000003,20180922,1,47,47,98,37591515,PES,2246094.46
96,20000000005,20000000009,20180715,1,13,13,66,38438086,PES,4237205.61
97,20000000011,20000000005,20190106,1,19,19,70,21489365,PES,6137553.38
98,20000000003,20000000003,20180423,1,98,98,82,35712045,PES,1013536.77
99,20000000003,20000000002,20181124,1,10,10,100,11877556,PES,3026159.1
100,20000000004,20000000005,20190625,1,30,30,61,80722699,PES,7512267.09
101,20000000004,20000000007,20180119,1,25,25,82,98135921,PES,4349169.44
102,20000000004,20000000012,20191015,1,20,20,74,53470977,PES,593660.26
103,20000000010,20000000001,20190903,1,51,51,72,71609044,PES,1577637.21
104,20000000006,20000000003,20191019,1,98,98,21,92039628,PES,6291088.11
105,20000000003,20000000014,20180621,1,21,21,68,57288113,PES,7478770.65
106,20000000011,20000000004,20190328,1,16,16,42,13650783,PES,4446506.56
107,20000000009,20000000010,20190415,1,96,96,12,63790423,PES,3224853.81
108,20000000004,20000000002,20191024,1,70,70,18,43622134,PES,7451407.2
109,20000000016,20000000009,20190705,1,76,76,75,47495062,PES,9234414.68
110,20000000015,20000000016,20180827,1,31,31,30,36257711,PES,409903.48
111,20000000009,20000000006,20191121,1,32,32,9,73821254,PES,7390802.44
112,20000000008,20000000013,20180620,1,79,79,13,65367185,PES,7171501.23
113,20000000004,20000000010,20181123,1,18,18,28,51117260,PES,4229355.01
114,20000000011,20000000013,20180327,1,70,70,92,79293236,PES,6498212.61
115,20000000009,20000000016,20181115,1,53,53,14,43570789,PES,4025965.79
116,20000000015,20000000007,20190420,1,28,28,75,22148517,PES,8867021.37
117,20000000013,20000000005,20180311,1,67,67,88,88021195,PES,909247.49
118,20000000002,20000000003,20180326,1,87,87,95,66921375,PES,2683866.19
119,20000000001,20000000004,20180328,1,51,51,87,93651781,PES,4143172.67
120,20000000012,20000000007,20180701,1,26,26,78,14264884,PES,4322885.29
121,20000000016,20000000015,20190325,1,18,18,5,67421614,PES,7378424.47
122,20000000005,20000000009,20191115,1,13,13,86,73192745,PES,6109487.48
123,20000000012,20000000004,20190224,1,67,67,40,49129486,PES,771349.51
124,20000000009,20000000008,20190506,1,6,6,98,69051825,PES,212054.2
125,20000000005,20000000008,20190805,1,37,37,43,67361109,PES,9528717.76
126,20000000015,20000000015,20190620,1,95,95,12,52508617,PES,6503994.07
127,20000000008,20000000011,20180324,1,23,23,42,38692834,PES,129920.77
128,20000000008,20000000007,20180811,1,47,47,65,20885887,PES,9243521.98
129,20000000003,20000000009,20190808,1,9,9,67,73038634,PES,4794442.05
130,20000000009,20000000014,20180726,1,38,38,63,28800845,PES,6314278.7
131,20000000004,20000000013,20180107,1,97,97,2,10052526,PES,9948066.63
132,20000000012,20000000014,20190522,1,68,68,47,28589239,PES,8351761.89
133,20000000002,20000000003,20190206,1,97,97,92,13686154,PES,5685771.73
134,20000000008,20000000014,20190428,1,85,85,12,63751683,PES,7520800.2
135,20000000003,20000000012,20190716,1,55,55,96,19027584,PES,8731020.33
136,20000000011,20000000004,20180507,1,47,47,91,66622487,PES,7453773.13
137,20000000002,20000000010,20191109,1,64,64,96,23926916,PES,9651758.28
138,20000000005,20000000006,20180901,1,78,78,62,44693722,PES,9236102.81
139,20000000001,20000000007,20180919,1,62,62,20,33573451,PES,969576.35
140,20000000005,20000000003,20190327,1,25,25,36,50377410,PES,5729601.64
141,20000000010,20000000014,20181116,1,96,96,2,80129430,PES,1875207.52
142,20000000004,20000000009,20180227,1,94,94,15,87999889,PES,6258459.13
143,20000000009,20000000002,20181005,1,88,88,53,77401661,PES,6687286.72
144,20000000014,20000000007,20191213,1,41,41,21,63978070,PES,5730804.77
145,20000000014,20000000013,20190418,1,35,35,98,97984566,PES,3948443.96
146,20000000009,20000000016,20191028,1,63,63,52,42300190,PES,2259095.48
147,20000000006,20000000001,20181121,1,32,32,38,31463686,PES,1693240.84
148,20000000011,20000000010,20180221,1,2,2,64,55606584,PES,3303219.61
149,20000000013,20000000005,20191220,1,64,64,40,37578034,PES,2707288.77
150,20000000012,20000000007,20180122,1,67,67,87,84222677,PES,6628378.28
151,20000000006,20000000005,20181207,1,50,50,53,98380941,PES,927150.16
152,20000000007,20000000011,20181117,1,64,64,56,83848777,PES,8099183.19
153,20000000004,20000000010,20180622,1,61,61,95,54642248,PES,7357145.12
154,20000000013,20000000007,20180207,1,80,80,29,13058446,PES,7608488.93
155,20000000006,20000000013,20180906,1,12,12,15,69687667,PES,5846216.07
156,20000000006,20000000015,20190620,1,95,95,53,52065804,PES,9035124.28
157,20000000009,20000000004,20190410,1,56,56,34,41459480,PES,2236997.71
158,20000000004,20000000010,20180516,1,45,45,17,62323901,PES,305034.58
159,20000000006,20000000006,20181108,1,79,79,84,69983529,PES,9523493.59
160,20000000006,20000000013,20190426,1,80,80,6,99104814,PES,5924410.56
161,20000000004,20000000003,20191101,1,74,74,98,42816152,PES,4358525.3
162,20000000011,20000000014,20180925,1,56,56,37,74050228,PES,2887349.66
163,20000000016,20000000010,20180625,1,9,9,84,50828661,PES,4291706.68
164,20000000009,20000000009,20180325,1,49,49,89,18693601,PES,4025863.11
165,20000000004,20000000014,20180803,1,2,2,66,70944008,PES,5782678.78
166,20000000007,20000000014,20180403,1,43,43,53,96268589,PES,8040397.38
167,20000000013,20000000004,20190202,1,18,18,68,85769202,PES,9897403.79
168,20000000015,20000000003,20190522,1,38,38,95,83613446,PES,514516.92
169,20000000005,20000000002,20180408,1,41,41,2,63080761,PES,1589809.11
170,20000000012,20000000009,20190526,1,72,72,16,90204246,PES,1471466.02
171,20000000004,20000000007,20180407,1,19,19,52,22670918,PES,8215786.57
172,20000000008,20000000003,20180222,1,89,89,23,72485926,PES,269398.12
173,20000000001,20000000011,20180818,1,98,98,24,14760310,PES,9671726.39
174,20000000002,20000000003,20181128,1,57,57,89,86033224,PES,9020572.58
175,20000000012,20000000012,20180523,1,95,95,30,35867792,PES,151219.54
176,20000000004,20000000013,20180825,1,60,60,13,49350922,PES,6719487.03
177,20000000014,20000000010,20191104,1,36,36,13,54193056,PES,7397924.31
178,20000000014,20000000011,20180402,1,1,1,2,22883149,PES,1690069.92
179,20000000010,20000000011,20190811,1,79,79,25,19677100,PES,2354684.0
180,20000000014,20000000016,20190811,1,22,22,26,74179314,PES,3489600.86
181,20000000015,20000000005,20190802,1,55,55,73,40059859,PES,1737475.29
182,20000000007,20000000009,20180109,1,99,99,84,77702952,PES,7598838.95
183,20000000011,20000000014,20180312,1,46,46,31,17760534,PES,8812054.44
184,20000000002,20000000012,20180120,1,52,52,24,61292004,PES,2639827.9
185,20000000003,20000000015,20191022,1,81,81,27,64366416,PES,2239304.68
186,20000000008,20000000015,20181106,1,25,25,75,18986444,PES,9420657.05
187,20000000016,20000000010,20190609,1,95,95,20,69689735,PES,9318098.22
188,20000000002,20000000013,20181119,1,33,33,36,14343600,PES,5746604.53
189,20000000014,20000000006,20190825,1,73,73,25,52139390,PES,1514795.15
190,20000000012,20000000005,20181216,1,5,5,88,73420116,PES,5504776.79
191,20000000004,20000000002,20191025,1,23,23,30,78647123,PES,8508727.55
192,20000000002,20000000016,20190905,1,31,31,81,61474031,PES,6727192.55
193,20000000004,20000000003,20181210,1,4,4,46,49021968,PES,8316105.17
194,20000000005,20000000008,20180816,1,81,81,82,89677143,PES,2971255.94
195,20000000005,20000000007,20181213,1,81,81,98,11502163,PES,2333883.94
196,20000000015,20000000001,20190224,1,1,1,36,27324044,PES,4514920.96
197,20000000007,20000000007,20180914,1,5,5,44,40515335,PES,3719711.65
198,20000000013,20000000008,20180304,1,35,35,30,17400175,PES,3707233.84
199,20000000012,20000000006,20191216,1,26,26,100,84889230,PES,8112269.46
200,20000000002,20000000011,20180411,1,82,82,68,70783084,PES,2744388.23
201,20000000010,20000000016,20180403,1,10,10,45,34090038,PES,9244427.17
202,20000000007,20000000015,20191105,1,29,29,72,16114788,PES,7587323.18
203,20000000006,20000000007,20191008,1,25,25,48,60202160,PES,9210568.36
204,20000000009,20000000007,20180625,1,23,23,22,58088765,PES,5857714.1
205,20000000008,20000000012,20180623,1,48,48,88,61815252,PES,5632619.67
206,20000000012,20000000014,20180922,1,1,1,1,71361201,PES,1347546.72
207,20000000014,20000000010,20190115,1,25,25,61,89127446,PES,3092445.38
208,20000000002,20000000016,20180817,1,46,46,81,38917763,PES,3070094.71
209,20000000004,20000000011,20190623,1,30,30,25,88505892,PES,3287210.43
210,20000000006,20000000016,20180805,1,22,22,60,56982877,PES,6550975.54
211,20000000006,20000000003,20190610,1,39,39,90,91642119,PES,4394995.96
212,20000000016,20000000014,20190726,1,57,57,26,16988718,PES,8393114.35
213,20000000007,20000000003,20190414,1,26,26,67,97905604,PES,5659144.56
214,20000000001,20000000012,20190117,1,61,61,13,50285301,PES,6529438.31
215,20000000003,20000000012,20191219,1,6,6,62,54765914,PES,6083466.28
216,20000000006,20000000004,20180516,1,55,55,25,25159371,PES,5460836.27
217,20000000010,20000000016,20190322,1,76,76,86,24425258,PES,4178456.62
218,20000000009,20000000007,20190411,1,90,90,99,80644105,PES,1113310.31
219,20000000016,20000000004,20190505,1,77,77,92,41390070,PES,8574883.38
220,20000000005,20000000002,20190908,1,24,24,12,59685545,PES,20638.15
221,20000000016,20000000016,20180212,1,10,10,49,35518122,PES,2579887.13
222,20000000016,20000000002,20191112,1,64,64,39,54581296,PES,2916497.03
223,20000000010,20000000010,20190522,1,56,56,48,60424125,PES,7580013.91
224,20000000009,20000000006,20181106,1,74,74,20,31615893,PES,3322914.97
225,20000000010,20000000011,20190708,1,90,90,3,45111553,PES,5564413.36
226,20000000010,20000000013,20180823,1,28,28,86,61707058,PES,3610519.96
227,20000000003,20000000002,20190821,1,15,15,41,69705770,PES,6165607.84
228,20000000006,20000000002,20190628,1,13,13,76,25222459,PES,2009064.94
229,20000000014,20000000006,20191216,1,5,5,23,87320298,PES,3936676.19
230,20000000007,20000000004,20180126,1,66,66,39,11044806,PES,3659904.27
231,20000000008,20000000002,20180627,1,2,2,41,57526462,PES,1758949.77
232,20000000002,20000000009,20180618,1,33,33,4,54566783,PES,9495063.54
233,20000000007,20000000013,20181106,1,38,38,50,19182467,PES,3197481.65
234,20000000007,20000000005,20191224,1,70,70,17,20807614,PES,6597785.47
235,20000000003,20000000001,20190925,1,12,12,71,94455367,PES,2774793.59
236,20000000010,20000000004,20180509,1,39,39,23,34271272,PES,5549445.53
237,20000000009,20000000006,20180509,1,31,31,70,34889894,PES,4130300.52
238,20000000013,20000000010,20180910,1,19,19,70,99358008,PES,1091835.12
239,20000000011,20000000005,20180208,1,48,48,89,87642169,PES,7701202.1
240,20000000015,20000000005,20180501,1,90,90,28,56107252,PES,119759.18
241,20000000003,20000000008,20180301,1,12,12,3,38292858,PES,9284456.94
242,20000000003,20000000003,20191024,1,81,81,71,38546369,PES,4460496.07
243,20000000014,20000000012,20180813,1,48,48,79,23806023,PES,3674311.15
244,20000000012,20000000007,20190503,1,44,44,84,33828737,PES,3458167.1
245,20000000005,20000000001,20180805,1,14,14,19,27280087,PES,3496384.85
246,20000000010,20000000001,20180223,1,73,73,53,66119827,PES,8339897.24
247,20000000013,20000000009,20180826,1,45,45,99,26025157,PES,3556980.5
248,20000000013,20000000013,20191107,1,90,90,14,96755226,PES,3252924.99
249,20000000014,20000000004,20180408,1,32,32,58,35137427,PES,409946.06
250,20000000011,20000000003,20181005,1,99,99,97,69079493,PES,6562103.49
251,20000000008,20000000007,20180616,1,27,27,18,97305279,PES,3268574.06
252,20000000013,20000000008,20191118,1,50,50,43,35279473,PES,2270942.47
253,20000000002,20000000006,20190525,1,10,10,63,58101010,PES,3385768.19
254,20000000004,20000000010,20180211,1,53,53,92,85225135,PES,1219937.0
255,20000000014,20000000001,20190208,1,31,31,96,31164607,PES,3919134.26
256,20000000016,20000000012,20180114,1,91,91,72,59383151,PES,932635.36
257,20000000013,20000000009,20180108,1,57,57,100,12902693,PES,890854.62
258,20000000001,20000000011,20181213,1,77,77,21,86232632,PES,4441685.81
259,20000000006,20000000006,20190318,1,30,30,94,86804600,PES,4081736.07
260,20000000005,20000000001,20190519,1,39,39,48,81510526,PES,2640078.65
261,20000000001,20000000002,20180310,1,39,39,42,10270830,PES,3303940.7
262,20000000014,20000000014,20191027,1,51,51,75,62475713,PES,2853046.55
263,20000000009,20000000002,20180418,1,36,36,82,57389927,PES,8393835.23
264,20000000008,20000000015,20181109,1,61,61,8,93808301,PES,5810322.75
265,20000000004,20000000005,20190516,1,50,50,44,94702105,PES,8178564.17
266,20000000002,20000000004,20181212,1,3,3,36,66465467,PES,196433.66
267,20000000009,20000000005,20190417,1,10,10,97,36810117,PES,2876294.71
268,20000000002,20000000016,20181126,1,45,45,83,35516195,PES,9148568.23
269,20000000004,20000000002,20180907,1,77,77,79,93603704,PES,610027.13
270,20000000010,20000000010,20190115,1,62,62,5,93855553,PES,7809390.95
271,20000000010,20000000006,20180509,1,55,55,49,87942309,PES,1233426.48
272,20000000015,20000000010,20180506,1,6,6,97,92337607,PES,8447912.15
273,20000000013,20000000004,20191027,1,59,59,46,85185907,PES,3796007.72
274,20000000012,20000000005,20180213,1,74,74,86,90880564,PES,4266071.87
275,20000000010,20000000016,20190617,1,2,2,5,27521672,PES,9110629.49
276,20000000009,20000000011,20180704,1,67,67,94,25409916,PES,1305212.08
277,20000000012,20000000008,20190228,1,96,96,75,15403120,PES,9046583.63
278,20000000007,20000000003,20181125,1,8,8,14,43327724,PES,3845608.19
279,20000000013,20000000002,20181220,1,4,4,8,13157634,PES,7683777.29
280,20000000014,20000000001,20190804,1,97,97,7,19570114,PES,5514080.45
281,20000000010,20000000016,20191021,1,44,44,20,29279895,PES,2981943.6
282,20000000005,20000000009,20180602,1,5,5,63,50512505,PES,8156028.2
283,20000000009,20000000007,20190627,1,76,76,93,30637561,PES,5476476.33
284,20000000011,20000000008,20180315,1,89,89,76,32239143,PES,1811719.59
285,20000000001,20000000005,20190827,1,39,39,55,85690618,PES,8407181.44
286,20000000009,20000000007,20180627,1,4,4,78,88654082,PES,1901237.78
287,20000000013,20000000002,20180421,1,29,29,34,43085145,PES,1069457.08
288,20000000008,20000000006,20180423,1,17,17,68,75066107,PES,7367802.85
289,20000000015,20000000011,20181117,1,91,91,50,27908065,PES,2778092.33
290,20000000012,20000000006,20181003,1,33,33,20,52131448,PES,6480081.91
291,20000000005,20000000005,20180318,1,14,14,56,85945411,PES,7791869.45
292,20000000005,20000000008,20180514,1,58,58,25,83860609,PES,2355106.58
293,20000000016,20000000003,20190319,1,70,70,88,70294775,PES,6465366.32
294,20000000015,20000000006,20180515,1,41,41,87,67222514,PES,3110611.12
295,20000000008,20000000007,20190224,1,45,45,7,43267288,PES,7492147.04
296,20000000008,20000000009,20181116,1,78,78,38,69310350,PES,4304353.61
297,20000000013,20000000003,20190228,1,7,7,21,17673359,PES,6672742.04
298,20000000011,20000000007,20180728,1,47,47,98,89715813,PES,3057998.9
299,20000000010,20000000003,20180825,1,78,78,31,18080169,PES,6106601.43
300,20000000003,20000000007,20191227,1,29,29,39,66658764,PES,7441751.9
301,20000000005,20000000010,20180216,1,41,41,46,86807796,PES,4903076.53
302,20000000006,20000000010,20180107,1,25,25,20,98909484,PES,908076.6
303,20000000010,20000000016,20180921,1,39,39,2,32925548,PES,6621372.1
304,20000000013,20000000015,20190221,1,50,50,86,82470685,PES,1050132.05
305,20000000013,20000000004,20190619,1,68,68,93,16901680,PES,7519188.46
306,20000000004,20000000009,20180316,1,60,60,35,35314066,PES,5868998.22
307,20000000010,20000000005,20181122,1,35,35,35,30697735,PES,9921135.57
308,20000000015,20000000010,20191024,1,48,48,31,54273098,PES,6986836.5
309,20000000012,20000000016,20191206,1,81,81,83,48158371,PES,8924716.48
310,20000000004,20000000007,20190813,1,25,25,53,13592138,PES,6628853.27
311,20000000011,20000000008,20190802,1,70,70,61,81881477,PES,3353445.89
312,20000000010,20000000006,20180425,1,83,83,29,86705555,PES,9176496.98
313,20000000004,20000000012,20191120,1,24,24,39,19488533,PES,3222313.43
0,20000000004,20000000004,20180607,1,7,7,52,77866068,PES,5636975.6
10,20000000002,20000000010,20180508,1,93,93,54,23450839,PES,7901027.29
